date,mes,año,#_hotels,h_capacity,h_occupancy_per_rooms,h_occupancy_per_capacity,h_occupancy_per_capacity_during_weekends,h_staff,h_total_travelers,h_total_nigts_stays,h_average_stay_(days),h_total_nights_stays_foreigns,h_nights_stays_alemania,h_nights_stays_austria,h_nights_stays_bélgica,h_nights_stays_dinamarca,h_nights_stays_finlandia,h_nights_stays_francia,h_nights_stays_grecia,h_nights_stays_países_bajos,h_nights_stays_irlanda,h_nights_stays_italia,h_nights_stays_luxemburgo,h_nights_stays_portugal,h_nights_stays_reino_unido,h_nights_stays_suecia,h_nights_stays_eslovaquia,h_nights_stays_hungría,h_nights_stays_islandia,h_nights_stays_noruega,h_nights_stays_polonia,h_nights_stays_república_checa,h_nights_stays_suiza_y_liechtenstein,h_nights_stays_turquía,h_nights_stays_rusia,h_nights_stays_otros_países_de_europa,h_nights_stays_africa,h_nights_stays_estados_unidos,h_nights_stays_argentina,h_nights_stays_brasil,h_nights_stays_canadá,h_nights_stays_méxico,h_nights_stays_venezuela,h_nights_stays_resto_de_américa_central_y_sur,h_nights_stays_japón,h_nights_stays_resto_de_asia,h_nights_stays_australia,h_nights_stays_nueva_zelanda,h_nights_stays_otro_país,h_total_foreign_travelers,h_travelers_alemania,h_travelers_austria,h_travelers_bélgica,h_travelers_dinamarca,h_travelers_finlandia,h_travelers_francia,h_travelers_grecia,h_travelers_países_bajos,h_travelers_irlanda,h_travelers_italia,h_travelers_luxemburgo,h_travelers_portugal,h_travelers_reino_unido,h_travelers_suecia,h_travelers_eslovaquia,h_travelers_hungría,h_travelers_islandia,h_travelers_noruega,h_travelers_polonia,h_travelers_república_checa,h_travelers_suiza_y_liechtenstein,h_travelers_turquía,h_travelers_rusia,h_travelers_otros_países_de_europa,h_travelers_africa,h_travelers_argentina,h_travelers_brasil,h_travelers_canadá,h_travelers_estados_unidos,h_travelers_méjico,h_travelers_venezuela,h_travelers_resto_de_américa,h_travelers_japón,h_travelers_resto_de_asia,h_travelers_australia,h_travelers_nueva_zelanda,h_travelers_otro_país,h_total_nights_stays_spanishs,h_nights_stays_andalucía,h_nights_stays_aragón,h_nights_stays_principado_de_asturias,h_nights_stays_illes_balears,h_nights_stays_canarias,h_nights_stays_cantabria,h_nights_stays_castilla_y_león,h_nights_stays_castilla-la_mancha,h_nights_stays_cataluña,h_nights_stays_comunitat_valenciana,h_nights_stays_extremadura,h_nights_stays_galicia,h_nights_stays_comunidad_de_madrid,h_nights_stays_región_de_murcia,h_nights_stays_comunidad_foral_de_navarra,h_nights_stays_país_vasco,h_nights_stays_la_rioja,h_nights_stays_ceuta_y_melilla,h_total_travelers_spain,h_travelers_andalucía,h_travelers_aragón,h_travelers_principado_de_asturias,h_travelers_illes_balears,h_travelers_canarias,h_travelers_cantabria,h_travelers_castilla-león,h_travelers_castilla-la_mancha,h_travelers_cataluña,h_travelers_comunitat_valenciana,h_travelers_extremadura,h_travelers_galicia,h_travelers_comunidad_de_madrid,h_travelers_región_de_murcia,h_travelers_comunidad_foral_de_navarra,h_travelers_país_vasco,h_travelers_la_rioja,h_travelers_ceuta_y_melilla
1999-01-01,January,1999,1048.0,51497.0,59.1,46.25,52.26,8589.0,315037.0,740403.0,2.35,314165,14519,2373,3890.0,1008,777,17104,1904,4053,1907,35604,230,13728.0,20302,3021,93,426.0,70,1422,798,853,3216,970,1829,7245,6099,41816,26127,17658,2652,11713,2989,21278,25742,6322,1691,81,12655,130154.0,6415,969,1867,501,389,7788,837,2288,852,11179,128,6648,10462,1150,40,165,43,664,377,552,1521,368,924,3160,1512,10001,7056,1037,16833,3632,1059,8479,12521,2840,499,67,5331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-02-01,February,1999,1044.0,52985.0,64.9,49.88,55.39,8711.0,323361.0,742751.0,2.3,322076,18929,2240,5317.0,1385,788,21305,2045,5955,2036,29102,380,18551.0,28968,4384,1196,274.0,88,1263,500,408,3221,568,780,6188,4613,47599,20902,10778,2300,8561,3274,18357,29254,7034,1166,104,12263,138740.0,8060,1135,2344,617,520,10010,1015,2788,904,13332,216,8828,14441,1600,296,96,64,615,174,304,1357,356,378,3090,1055,7863,4100,1059,19158,2350,1166,8129,12615,2694,484,48,5479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-03-01,March,1999,1038.0,53643.0,69.24,55.5,62.97,8885.0,405495.0,928374.0,2.29,446227,35771,2856,8731.0,2290,1085,24256,2211,5840,2281,41405,325,13935.0,35509,5249,1076,939.0,220,1385,1515,777,4133,617,7508,11864,6142,94041,18696,8904,3324,12894,4110,25925,35425,7418,1147,142,16281,194611.0,13653,1354,3086,977,595,11724,811,2933,857,17786,71,8070,16652,2246,527,329,61,694,496,507,1791,329,1265,4445,2021,8585,4160,1574,40928,4685,1393,10989,17814,2898,468,75,7762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-04-01,April,1999,1031.0,54641.0,71.63,58.52,64.63,8980.0,423969.0,966568.0,2.28,520483,43943,3596,9171.0,3593,1612,29195,4286,9759,3532,46050,291,13562.0,36842,8278,699,1912.0,223,1876,1852,968,5115,619,2010,11954,6719,124599,20150,12789,6604,12663,3755,34397,26991,7025,3376,666,19811,222675.0,17394,1636,4170,1464,582,14337,1993,4840,1355,19355,120,7347,16920,3184,324,570,114,967,1003,542,2106,305,1006,4580,1791,10829,5181,2872,49438,5380,1310,13355,13991,2877,1617,255,7565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-05-01,May,1999,1028.0,54265.0,73.01,57.56,62.91,8713.0,445441.0,973432.0,2.19,516197,36168,3905,7812.0,2096,1652,34821,3265,13542,5050,34913,554,13271.0,41272,4040,616,2513.0,433,1550,5427,1370,6056,660,4299,13642,7844,104989,32179,11507,4377,14880,4639,38305,28603,7663,4227,159,17898,229654.0,15559,1601,3451,1181,703,16575,1183,5801,2127,16370,248,7088,19930,1725,341,273,172,678,2631,828,2406,260,2039,5191,1774,12696,5769,2100,45744,5516,1873,16736,15120,3393,2251,80,8241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-06-01,June,1999,1027.0,53894.0,70.34,56.07,60.12,8542.0,426070.0,911207.0,2.14,482884,25490,2155,5871.0,2515,960,26637,1395,6403,2376,33410,399,15788.0,34915,4179,219,1606.0,389,1713,1513,1221,5105,1611,3049,12319,9317,113811,31411,13481,3346,19187,3685,39659,25961,9244,3526,682,18336,219962.0,12133,1240,2768,1184,508,13577,668,3527,937,15855,313,8981,17234,1699,73,282,124,847,720,493,1957,610,1253,5584,1823,12869,6662,1644,50345,6726,1314,18001,13866,4354,1783,340,7668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-07-01,July,1999,1027.0,53322.0,61.11,50.56,52.66,7727.0,388037.0,839924.0,2.16,469721,20482,3143,5185.0,1488,792,24052,8623,6392,2728,30907,337,11595.0,29755,3407,1023,1988.0,750,2078,2920,1839,3231,2470,1676,12719,11985,92607,28946,16605,3322,24622,3292,48174,21493,10347,4208,462,24078,214307.0,9117,1722,2556,703,342,11614,3490,3240,1255,14671,209,7516,14588,1571,381,518,383,1179,1565,666,1663,741,655,4164,2300,12399,7630,1419,41163,9842,1242,21911,11764,4970,2053,211,12894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-08-01,August,1999,1026.0,51339.0,52.41,46.69,50.07,7435.0,337668.0,746501.0,2.21,437597,19861,2153,5708.0,2086,411,21426,9465,6890,1985,66626,254,16790.0,26685,1673,248,1900.0,142,1210,1915,880,1963,766,3467,23093,10227,56400,24741,11217,3502,20049,4445,32314,21533,9370,2868,769,24275,200120.0,8195,1000,2827,988,210,10202,5104,3239,1175,32481,153,10202,12581,748,133,133,84,555,891,466,1146,421,1775,6034,2408,9583,5451,1550,27269,7647,1719,14559,11079,5410,1414,376,10912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-09-01,September,1999,1026.0,53630.0,75.22,60.71,65.2,8430.0,440784.0,981037.0,2.23,531914,32951,2997,7757.0,2671,1238,26678,3724,9344,3499,36229,406,20050.0,48381,5333,284,1446.0,381,1754,4481,1358,4925,604,6219,19412,9581,84467,33549,14916,4580,22152,5747,42868,27398,10402,6292,491,27349,233806.0,14829,1374,3355,1305,763,13151,1595,3874,1791,16310,294,10425,20893,2486,152,506,106,928,2469,528,2105,300,1433,4845,2650,14389,7333,1914,37306,8205,2152,19576,14104,5104,2969,294,11993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-10-01,October,1999,1025.0,53830.0,76.99,61.48,65.67,8100.0,452756.0,1030322.0,2.28,567771,43836,4305,7164.0,2579,2108,30662,3321,13460,3023,44312,428,20772.0,57086,5914,260,1710.0,283,2974,2916,1118,6694,886,4195,21860,9120,91854,31535,13168,4819,22731,3520,40757,30481,11092,5222,344,21262,246609.0,16889,1673,3536,1065,813,15178,1222,5119,1111,19661,260,11128,24497,2223,111,912,155,1221,664,684,1982,341,1408,5141,2026,12240,6549,2556,42937,8489,1410,18083,16830,5097,2491,125,10782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
