date,año,mes,#_turistic_apartments,ta_capacity,ta_occupancy_per_capacity,ta_occupancy_per_apartment,ta_occupancy_per_capacity_during_weekends,ta_staff,ta_nights_stays_alemania,ta_nights_stays_austria,ta_nights_stays_bélgica,ta_nights_stays_dinamarca,ta_nights_stays_finlandia,ta_nights_stays_francia,ta_nights_stays_grecia,ta_nights_stays_irlanda,ta_nights_stays_italia,ta_nights_stays_luxemburgo,ta_nights_stays_países_bajos,ta_nights_stays_polonia,ta_nights_stays_portugal,ta_nights_stays_república_checa,ta_nights_stays_suecia,ta_nights_stays_resto_de_unión_europea,ta_nights_stays_noruega,ta_nights_stays_reino_unido,ta_nights_stays_rusia,ta_nights_stays_suiza,ta_nights_stays_resto_de_europa,ta_nights_stays_estados_unidos,total_ta_nights_stays_central_and_south_america,ta_nights_stays_africa,ta_nights_stays_resto_del_mundo,ta_travelers_alemania,ta_travelers_austria,ta_travelers_bélgica,ta_travelers_dinamarca,ta_travelers_finlandia,ta_travelers_francia,ta_travelers_grecia,ta_travelers_irlanda,ta_travelers_italia,ta_travelers_luxemburgo,ta_travelers_países_bajos,ta_travelers_polonia,ta_travelers_portugal,ta_travelers_república_checa,ta_travelers_suecia,ta_travelers_resto_de_unión_europea,ta_travelers_noruega,ta_travelers_reino_unido,ta_travelers_rusia,ta_travelers_suiza,ta_travelers_resto_de_europa,ta_travelers_estados_unidos,ta_travelers_resto_de_américa,ta_travelers_africa,ta_travelers_resto_del_mundo,ta_total_travelers,ta_total_spanish_travelers,ta_total_foreign_travelers,ta_total_nigts_stays,ta_total_nights_stays_spanishs,ta_total_nights_stays_foreigns,ta_average_stay_(days)
2010-01-01,,,6060,2713,34.05,47.37,49.74,584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-02-01,,,7415,3302,42.79,55.86,61.94,619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-03-01,,,7497,3338,43.83,55.96,63.34,623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-04-01,,,7602,3375,49.75,60.19,66.08,632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-05-01,,,7598,3411,52.44,66.75,71.55,595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-01,,,7686,3454,50.19,62.79,66.59,616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-01,,,7895,3483,46.42,55.71,57.67,592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-01,,,7859,3491,45.19,48.22,50.14,580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-01,,,7840,3488,49.52,63.99,68.05,587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-10-01,,,7893,3491,55.53,71.22,75.27,582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
